mod_variants,Ford Figo Ambiente petrol,Ford Figo Titanium petrol,Ford Figo Titanium AT petrol,Ford Figo Titanium Diesel,Ford Ecosport ambiente petrol,Ford Ecosport ambiente diesel,Ford Ecosport trend petrol,Ford Ecosport trend diesel,Ford Ecosport titanium petrol,Ford Ecosport titanium diesel,Honda City V MT Petrol,Honda City V CVT Petrol,Honda City VX MT Petrol,Honda City V MT Diesel,Honda City VX MT Diesel,Honda City ZX CVT Petrol,Honda City VX CVT Petrol,Honda Jazz VX MT Petrol,Honda Jazz ZX MT Petrol,Honda Jazz VX CVT Petrol,Honda Jazz ZX CVT Petrol,Hyundai grand i10 NIOS Magna MT Petrol,Hyundai grand i10 NIOS Magna AMT Petrol,Hyundai grand i10 NIOS Sportz MT Petrol,Hyundai grand i10 NIOS Sportz MT Diesel,Hyundai grand i10 NIOS Asta CRDi,Hyundai verna SX MT Petrol,Hyundai verna SX MT Diesel,Hyundai verna SX AT Diesel,Hyundai verna Splus MT Petrol,Hyundai verna SPlus MT Diesel,Mahindra Bolero Neo N8 MT Diesel,Mahindra Bolero Neo N10 MT Diesel,Mahindra Bolero Neo N4 MT Diesel,Mahindra XUV700 MX MT Petrol,Mahindra XUV700 MX MT Diesel,Mahindra XUV700 AX5 Automatic Petrol,Mahindra XUV700 AX5 Automatic Diesel,Mahindra XUV700 AX7 Automatic Petrol,Mahindra XUV700 AX7 Automatic Diesel,Maruti Suzuki Baleno Sigma MT Petrol,Maruti Suzuki Baleno Delta MT Petrol,Maruti Suzuki Baleno Zeta MT Petrol,Maruti Suzuki Baleno Zeta Automatic Petrol,Maruti Suzuki Baleno Delta Automatic Petrol,Maruti Suzuki Baleno Alpha MT Petrol,Maruti Suzuki Dzire LXI MT Petrol,Maruti Suzuki Dzire VXI MT Petrol,Tata Nexon XZ Petrol,Tata Nexon XM Petrol,Tata Nexon XMA AMT Petrol,Tata Nexon XM MT Diesel,Tata Nexon XMA AMT Diesel,Tata Tiago XT MT Petrol,Tata Tiago XZ MT Petrol,Tata Tiago XTA Automatic Petrol,Tata Tiago XZPlus MT Petrol,Toyota Innova 2.5 VX MT Diesel,Toyota Innova 2.5 ZX MT Diesel,Toyota Innova 2.5 GX MT Diesel,Toyota Urban Cruiser Mid MT Petrol,Toyota Urban Cruiser High MT Petrol,Toyota Urban Cruiser Premium MT Petrol,Toyota Urban Cruiser Premium Automatic Petrol,Toyota Urban Cruiser High Automatic Petrol
eng_max_torque,119 Nm @ 4250 rpm,119 Nm @ 4250 rpm,119 Nm @ 4250 rpm,99 Nm @ 3750 rpm,149 Nm @ 4500 rpm,215 Nm @ 1750 to 2500 rpm,149 Nm @ 4500 rpm,215 Nm @ 1750 to 2500 rpm,149 Nm @ 4500 rpm,215 Nm @ 1750 to 2500 rpm,145 nm @ 4300 rpm,145 nm @ 4300 rpm,145 nm @ 4300 rpm,200 nm @ 1750 rpm,200 nm @ 1750 rpm,145 nm @ 4300 rpm,145 nm @ 4300 rpm,110 Nm @ 4800 rpm,110 Nm @ 4800 rpm,110 Nm @ 4800 rpm,110 Nm @ 4800 rpm,113.75 Nm @ 4000 rpm,113.75 Nm @ 4000 rpm,113.75 Nm @ 4000 rpm,190.24 nm @ 1750 to 2250 rpm,190.24 nm @ 1750 to 2250 rpm,144.15 nm @ 4500 rpm,250 nm @ 1500 to 2750 rpm,250 nm @ 1500 to 2750 rpm,144.15 nm @ 4500 rpm,250 nm @ 1500 to 2750 rpm,260 nm @ 1750 to 2250 rpm,260 nm @ 1750 to 2250 rpm,260 nm @ 1750 to 2250 rpm,380 nm @ 1750 to 3000 rpm,360 nm @ 1500 to 2800 rpm,380 nm @ 1750 to 3000 rpm,420 Nm @ 1600 to 2800 rpm,380 nm @ 1750 to 3000 rpm,450 Nm @ 1750 to 2800 rpm,113 Nm @ 4200 rpm,113 Nm @ 4200 rpm,113 Nm @ 4200 rpm,115 Nm @ 4000 rpm,115 Nm @ 4000 rpm,113 Nm @ 4200 rpm,113 Nm @ 4400 rpm,113 Nm @ 4400 rpm,170 Nm @ 1750 to 4000 rpm,170 Nm @ 1750 to 4000 rpm,170 Nm @ 1750 to 4000 rpm,260 Nm @ 1500 to 2750 rpm,260 Nm @ 1500 to 2750 rpm,113 Nm @ 3300 rpm,113 Nm @ 3300 rpm,113 Nm @ 3300 rpm,113 Nm @ 3300 rpm,200 Nm @ 1200 to 3600 rpm,200 Nm @ 1200 to 3600 rpm,200 Nm @ 1200 to 3600 rpm,138 nm @ 4400 rpm,138 nm @ 4400 rpm,138 nm @ 4400 rpm,138 nm @ 4400 rpm,138 nm @ 4400 rpm
eng_fuel_type,Petrol,Petrol,Petrol,Diesel,Petrol,Diesel,Petrol,Diesel,Petrol,Diesel,Petrol,Petrol,Petrol,Diesel,Diesel,Petrol,Petrol,Petrol,Petrol,Petrol,Petrol,Petrol,Petrol,Petrol,Diesel,Diesel,Petrol,Diesel,Diesel,Petrol,Diesel,Diesel,Diesel,Diesel,Petrol,Diesel,Petrol,Diesel,Petrol,Diesel,Petrol,Petrol,Petrol,Petrol,Petrol,Petrol,Petrol,Petrol,Petrol,Petrol,Petrol,Diesel,Diesel,Petrol,Petrol,Petrol,Petrol,Diesel,Diesel,Diesel,Petrol,Petrol,Petrol,Petrol,Petrol
eng_mileage,18.5 kmpl,16 kmpl,16 kmpl,24.4 kmpl,15.9 kmpl,21 kmpl,15.9 kmpl,21 kmpl,15.9 kmpl,21 kmpl,17.8 kmpl,17.8 kmpl,17.8 kmpl,15.3 kmpl,15.3 kmpl,17.8 kmpl,17.8 kmpl,17.1 kmpl,17.1 kmpl,17.1 kmpl,17.1 kmpl,20.7 kmpl,20.7 kmpl,20.7 kmpl,26.2 kmpl,26.2 kmpl,17.7 kmpl,25 kmpl,21.3 kmpl,17.7 kmpl,25 kmpl,17.3 kmpl,17.3 kmpl,17.3 kmpl,12 kmpl,12 kmpl,12 kmpl,12 kmpl,12 kmpl,12 kmpl,21 kmpl,21 kmpl,21 kmpl,21.4 kmpl,21.4 kmpl,21 kmpl,23.26 kmpl,23.26 kmpl,17.2 kmpl,17.2 kmpl,17.2 kmpl,17.8 kmpl,17.8 kmpl,23.84 kmpl,23.84 kmpl,23.84 kmpl,23.84 kmpl,13 kmpl,13 kmpl,13 kmpl,17 kmpl,17 kmpl,17 kmpl,18.76 kmpl,18.76 kmpl
eng_gearbox_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eng_num_gears,5,6,6,6,5,5,5,5,5,5,6,6,6,6,6,7,7,5,5,7,7,5,5,5,5,5,6,6,6,6,6,5,5,5,6,6,6,6,6,6,5,5,5,5,5,5,5,5,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4
eng_camshaft,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eng_trans_type,5 speed manual Ti VCT,6 speed automatic,6 speed automatic,6 speed automatic,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Automatic,Automatic,Manual,Automatic,Manual,Manual,Manual,Manual,Manual,Automatic,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Automatic,Automatic,Automatic,Automatic,Manual,Manual,Manual,Automatic,Automatic,Manual,Manual,Manual,Manual,Manual,Automatic,Manual,Automatic,Manual,Manual,Automatic,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Automatic,Automatic
eng_drive_mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RWD with MTT,RWD with MTT,RWD with MTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eng_others,,,,,,,,turbo charger,,,,,,turbo charger,turbo charger,,,,,,,1.2 litre kappa engine,1.2 litre kappa engine,1.2 litre kappa engine,1.2 litre U2 CRDI engine,1.2 litre U2 CRDI engine,1.5 litre MPi,1.5 litre U2 CRDI engine,1.5 litre U2 CRDI engine,1.5 litre Mpi,1.5 litre U2 CRDI engine,"Turbo charger, mHAWk100","Turbo charger, mHAWk100","Turbo charger, mHAWk100",Turbo charger,Turbo charger,Turbo charger,Turbo charger,Turbo charger,Turbo charger,1.2 litre VVT,1.2 litre VVT,1.2 litre VVT,1.2 litre VVT,1.2 litre VVT,1.2 litre VVT,1.2 litre VVT,1.2 litre VVT,"1.2 litre revotron, turbo charger","1.2 litre revotron, turbo charger","1.2 litre revotron, turbo charger","1.5 litre revotron, turbo charger","1.5 litre revotron, turbo charger","1.2 litre revotron, turbo charger","1.2 litre revotron, turbo charger","1.2 litre revotron, turbo charger","1.2 litre revotron, turbo charger",2KD-FTV,2KD-FTV,2KD-FTV,k-series,k-series,k-series,k-series,k-series
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dim_length,3941 mm,3941 mm,3941 mm,3941 mm,3998 mm,3998 mm,3998 mm,3998 mm,3998 mm,3998 mm,4549 mm,4549 mm,4549 mm,4549 mm,4549 mm,4549 mm,4549 mm,3939 mm,3939 mm,3939 mm,3939 mm,3805 mm,3805 mm,3805 mm,3805 mm,3805 mm,4440 mm,4440 mm,4440 mm,4440 mm,4440 mm,3995 mm,3995 mm,3995 mm,4695 mm,4695 mm,4695 mm,4695 mm,4695 mm,4695 mm,3995 mm,3995 mm,3995 mm,3995 mm,3995 mm,3995 mm,3995 mm,3995 mm,3993 mm,3993 mm,3993 mm,3993 mm,3993 mm,3765 mm,3765 mm,3765 mm,3765 mm,4735 mm,4735 mm,4735 mm,3995 mm,3995 mm,3995 mm,3995 mm,3995 mm
dim_width,1704 mm,1704 mm,1704 mm,1704 mm,1647 mm,1647 mm,1647 mm,1647 mm,1647 mm,1647 mm,1489 mm,1489 mm,1489 mm,1489 mm,1489 mm,1489 mm,1489 mm,1544 mm,1544 mm,1544 mm,1544 mm,1520 mm,1520 mm,1520 mm,1520 mm,1520 mm,1475 mm,1475 mm,1475 mm,1475 mm,1475 mm,1817 mm,1817 mm,1817 mm,1755 mm,1755 mm,1755 mm,1755 mm,1755 mm,1755 mm,1510 mm,1510 mm,1510 mm,1510 mm,1510 mm,1510 mm,1515 mm,1515 mm,1606 mm,1606 mm,1606 mm,1606 mm,1606 mm,1535 mm,1535 mm,1535 mm,1535 mm,1795 mm,1795 mm,1795 mm,1640 mm,1640 mm,1640 mm,1640 mm,1640 mm
dim_height,1525 mm,1525 mm,1525 mm,1525 mm,1765 mm,1765 mm,1765 mm,1765 mm,1765 mm,1765 mm,1748 mm,1748 mm,1748 mm,1748 mm,1748 mm,1748 mm,1748 mm,1694 mm,1694 mm,1694 mm,1694 mm,1680 mm,1680 mm,1680 mm,1680 mm,1680 mm,1729 mm,1729 mm,1729 mm,1729 mm,1729 mm,1795 mm,1795 mm,1795 mm,1890 mm,1890 mm,1890 mm,1890 mm,1890 mm,1890 mm,1745 mm,1745 mm,1745 mm,1745 mm,1745 mm,1745 mm,1735 mm,1735 mm,1811 mm,1811 mm,1811 mm,1811 mm,1811 mm,1677 mm,1677 mm,1677 mm,1677 mm,1830 mm,1830 mm,1830 mm,1790 mm,1790 mm,1790 mm,1790 mm,1790 mm
dim_wheelbase,2490 mm,2490 mm,2490 mm,2490 mm,2519 mm,2519 mm,2519 mm,2519 mm,2519 mm,2519 mm,2600 mm,2600 mm,2600 mm,2600 mm,2600 mm,2600 mm,2600 mm,2530 mm,2530 mm,2530 mm,2530 mm,2450 mm,2450 mm,2450 mm,2450 mm,2450 mm,2600 mm,2600 mm,2600 mm,2600 mm,2600 mm,2680 mm,2680 mm,2680 mm,2750 mm,2750 mm,2750 mm,2750 mm,2750 mm,2750 mm,2520 mm,2520 mm,2520 mm,2520 mm,2520 mm,2520 mm,2450 mm,2450 mm,2498 mm,2498 mm,2498 mm,2498 mm,2498 mm,2400 mm,2400 mm,2400 mm,2400 mm,2750 mm,2750 mm,2750 mm,2500 mm,2500 mm,2500 mm,2500 mm,2500 mm
dim_turning_circle_radius,4.9 meters,4.9 meters,4.9 meters,4.9 meters,5.3 meters,5.3 meters,5.3 meters,5.3 meters,5.3 meters,5.3 meters,5.3 meters,5.3 meters,5.3 meters,5.3 meters,5.3 meters,5.3 meters,5.3 meters,5.1 meters,5.1 meters,5.1 meters,5.1 meters,4.8 meters,4.8 meters,4.8 meters,4.8 meters,4.8 meters,5.2 meters,5.2 meters,5.2 meters,5.2 meters,5.2 meters,5.35 meters,5.35 meters,5.35 meters,5.6 meters,5.6 meters,5.6 meters,5.6 meters,5.6 meters,5.6 meters,4.9 meters,4.9 meters,4.9 meters,4.9 meters,4.9 meters,4.9 meters,4.8 meters,4.8 meters,5.1 meters,5.1 meters,5.1 meters,5.1 meters,5.1 meters,4.9 meters,4.9 meters,4.9 meters,4.9 meters,5.4 meters,5.4 meters,5.4 meters,5.2 meters,5.2 meters,5.2 meters,5.2 meters,5.2 meters
dim_fuel_tank_capacity,42 litres,42 litres,42 litres,42 litres,52 litres,52 litres,52 litres,52 litres,52 litres,52 litres,40 litres,40 litres,40 litres,40 litres,40 litres,40 litres,40 litres,40 litres,40 litres,40 litres,40 litres,37 litres,37 litres,37 litres,37 litres,37 litres,45 litres,45 litres,45 litres,45 litres,45 litres,50 litres,50 litres,50 litres,60 litres,60 litres,60 litres,60 litres,60 litres,60 litres,37 litres,37 litres,37 litres,37 litres,37 litres,37 litres,37 litres,37 litres,44 litres,44 litres,44 litres,44 litres,44 litres,35 litres,35 litres,35 litres,35 litres,65 litres,65 litres,65 litres,48 litres,48 litres,48 litres,48 litres,48 litres
dim_gross_vehicle_weight,1480 kg,1480 kg,1480 kg,1480 kg,1660 to 1705 kg,1660 to 1705 kg,1660 to 1705 kg,1660 to 1705 kg,1660 to 1705 kg,1660 to 1705 kg,1566 to 1592 kg,1566 to 1592 kg,1566 to 1592 kg,1566 to 1592 kg,1566 to 1592 kg,1566 to 1592 kg,1566 to 1592 kg,1490 kg,1490 kg,1490 kg,1490 kg,1350 kg,1350 kg,1350 kg,1350 kg,1350 kg,1560 to 1670 kg,1560 to 1670 kg,1560 to 1670 kg,1560 to 1670 kg,1560 to 1670 kg,2215 kg,2215 kg,2215 kg,2154 to 2471 kg,2154 to 2471 kg,2154 to 2471 kg,2154 to 2471 kg,2154 to 2471 kg,2154 to 2471 kg,1340 to 1360 kg,1340 to 1360 kg,1340 to 1360 kg,1340 to 1360 kg,1340 to 1360 kg,1340 to 1360 kg,1335 kg,1335 kg,1590 to 1725 kg,1590 to 1725 kg,1590 to 1725 kg,1590 to 1725 kg,1590 to 1725 kg,1335 to 1391 kg,1335 to 1391 kg,1335 to 1391 kg,1335 to 1391 kg,2340 to 2490 kg,2340 to 2490 kg,2340 to 2490 kg,1600 kg,1600 kg,1600 kg,1600 kg,1600 kg
dim_kerb_weight,1081 to 1094 kg,1081 to 1094 kg,1081 to 1094 kg,1081 to 1094 kg,1188 to 1309 kg,1188 to 1309 kg,1188 to 1309 kg,1188 to 1309 kg,1188 to 1309 kg,1188 to 1309 kg,1107 to 1153 kg,1107 to 1153 kg,1107 to 1153 kg,1107 to 1153 kg,1107 to 1153 kg,1107 to 1153 kg,1107 to 1153 kg,1042 to 1085 kg,1042 to 1085 kg,1042 to 1085 kg,1042 to 1085 kg,921 to 1036 kg,921 to 1036 kg,921 to 1036 kg,921 to 1036 kg,921 to 1036 kg,1100 to 1260 kg,1100 to 1260 kg,1100 to 1260 kg,1100 to 1260 kg,1100 to 1260 kg,2215 kg,2215 kg,2215 kg,1960 to 2040 kg,1960 to 2040 kg,1960 to 2040 kg,1960 to 2040 kg,1960 to 2040 kg,1960 to 2040 kg,890 to 910 kg,890 to 910 kg,890 to 910 kg,890 to 910 kg,890 to 910 kg,890 to 910 kg,880 to 915 kg,880 to 915 kg,1179 to 1315 kg,1179 to 1315 kg,1179 to 1315 kg,1179 to 1315 kg,1179 to 1315 kg,935 to 1015 kg,935 to 1015 kg,935 to 1015 kg,935 to 1015 kg,1730 to 1920 kg,1730 to 1920 kg,1730 to 1920 kg,1115 to 1150 kg,1115 to 1150 kg,1115 to 1150 kg,1115 to 1150 kg,1115 to 1150 kg
dim_trunk_space,257 litres,257 litres,257 litres,257 litres,341 to 348 litres,341 to 348 litres,341 to 348 litres,341 to 348 litres,341 to 348 litres,341 to 348 litres,506 litres,506 litres,506 litres,506 litres,506 litres,506 litres,506 litres,354 litres,354 litres,354 litres,354 litres,260 litres,260 litres,260 litres,260 litres,260 litres,480 litres,480 litres,480 litres,480 litres,480 litres,384 litres,384 litres,384 litres,425 litres,425 litres,425 litres,425 litres,425 litres,425 litres,339 litres,339 litres,339 litres,339 litres,339 litres,339 litres,378 litres,378 litres,350 litres,350 litres,350 litres,350 litres,350 litres,242 litres,242 litres,242 litres,242 litres,300 litres,300 litres,300 litres,328 litres,328 litres,328 litres,328 litres,328 litres
dim_ground_clearance,174 mm,174 mm,174 mm,174 mm,200 mm,200 mm,200 mm,200 mm,200 mm,200 mm,165 mm,165 mm,165 mm,165 mm,165 mm,165 mm,165 mm,165 mm,165 mm,165 mm,165 mm,165 mm,165 mm,165 mm,165 mm,165 mm,165 mm,165 mm,165 mm,165 mm,165 mm,180 mm,180 mm,180 mm,200 mm,200 mm,200 mm,200 mm,200 mm,200 mm,170 mm,170 mm,170 mm,170 mm,170 mm,170 mm,163 mm,163 mm,209 mm,209 mm,209 mm,209 mm,209 mm,170 mm,170 mm,170 mm,170 mm,178 mm,178 mm,178 mm,198 mm,198 mm,198 mm,198 mm,198 mm
dim_seating_capacity,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,5,5,5,5,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,5,5,5,5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssb_front_suspension,Independent Mcpherson,Independent Mcpherson,Independent Mcpherson,Independent Mcpherson,Independent Mcpherson,Independent Mcpherson,Independent McPherson Strut,Independent McPherson Strut,Independent McPherson Strut,Independent McPherson Strut,McPherson Strut with Coil Spring,McPherson Strut with Coil Spring,McPherson Strut with Coil Spring,McPherson Strut with Coil Spring,McPherson Strut with Coil Spring,McPherson Strut with Coil Spring,McPherson Strut with Coil Spring,Mcpherson Strut Coil Spring,Mcpherson Strut Coil Spring,Mcpherson Strut Coil Spring,Mcpherson Strut Coil Spring,McPherson strut,McPherson strut,McPherson strut,McPherson strut,McPherson strut,McPherson strut,McPherson strut,McPherson strut,McPherson strut,McPherson strut,coil spring and anti roll bar,coil spring and anti roll bar,coil spring and anti roll bar,McPherson Strut Independent Suspension with FSD and Stabilizer bar,McPherson Strut Independent Suspension with FSD and Stabilizer bar,McPherson Strut Independent Suspension with FSD and Stabilizer bar,McPherson Strut Independent Suspension with FSD and Stabilizer bar,McPherson Strut Independent Suspension with FSD and Stabilizer bar,McPherson Strut Independent Suspension with FSD and Stabilizer bar,McPherson Strut,McPherson Strut,McPherson Strut,McPherson Strut,McPherson Strut,McPherson Strut,McPherson Strut,McPherson Strut,"Independent, Lower Wishbone, McPherson Strut with Coil Spring","Independent, Lower Wishbone, McPherson Strut with Coil Spring","Independent, Lower Wishbone, McPherson Strut with Coil Spring","Independent, Lower Wishbone, McPherson Strut with Coil Spring","Independent, Lower Wishbone, McPherson Strut with Coil Spring","Independent, Lower wishbone, McPherson dual path strut type","Independent, Lower wishbone, McPherson dual path strut type","Independent, Lower wishbone, McPherson dual path strut type","Independent, Lower wishbone, McPherson dual path strut type",Double Wishbone,Double Wishbone,Double Wishbone,McPherson Strut with Coil Spring,McPherson Strut with Coil Spring,McPherson Strut with Coil Spring,McPherson Strut with Coil Spring,McPherson Strut with Coil Spring
ssb_rear_suspension,Semi Independent Twist Beam Type,Semi Independent Twist Beam Type,Semi Independent Twist Beam Type,Semi Independent Twist Beam Type,Semi Independent Twist Beam Type,Semi Independent Twist Beam Type,Semi-independent twist beam,Semi-independent twist beam,Semi-independent twist beam,Semi-independent twist beam,Torsion beam with Coil Spring,Torsion beam with Coil Spring,Torsion beam with Coil Spring,Torsion beam with Coil Spring,Torsion beam with Coil Spring,Torsion beam with Coil Spring,Torsion beam with Coil Spring,"Torsion Beam axle, Coil Spring","Torsion Beam axle, Coil Spring","Torsion Beam axle, Coil Spring","Torsion Beam axle, Coil Spring",Coupled Torsion Beam Axle,Coupled Torsion Beam Axle,Coupled Torsion Beam Axle,Coupled Torsion Beam Axle,Coupled Torsion Beam Axle,Coupled Torsion Beam Axle,Coupled Torsion Beam Axle,Coupled Torsion Beam Axle,Coupled Torsion Beam Axle,Coupled Torsion Beam Axle,Elliptical leaf springs,Elliptical leaf springs,Elliptical leaf springs,Multi Link Independent Suspension with FSD Stabilizer bar,Multi Link Independent Suspension with FSD Stabilizer bar,Multi Link Independent Suspension with FSD Stabilizer bar,Multi Link Independent Suspension with FSD Stabilizer bar,Multi Link Independent Suspension with FSD Stabilizer bar,Multi Link Independent Suspension with FSD Stabilizer bar,Torsion Beam,Torsion Beam,Torsion Beam,Torsion Beam,Torsion Beam,Torsion Beam,Torsion Beam,Torsion Beam,"Semi-Independent, closed profile Twist beam with Coil Spring","Semi-Independent, closed profile Twist beam with Coil Spring","Semi-Independent, closed profile Twist beam with Coil Spring","Semi-Independent, closed profile Twist beam with Coil Spring","Semi-Independent, closed profile Twist beam with Coil Spring",Twist beam with coil spring mounted,Twist beam with coil spring mounted,Twist beam with coil spring mounted,Twist beam with coil spring mounted,Four Link,Four Link With Lateral Rod,Four Link,Torsion Beam with Coil Spring,Torsion Beam with Coil Spring,Torsion Beam with Coil Spring,Torsion Beam with Coil Spring,Torsion Beam with Coil Spring
ssb_shock_absorbers,Twin Gas and Oil Filled,Twin Gas and Oil Filled,Twin Gas and Oil Filled,Twin Gas and Oil Filled,Twin Gas and Oil Filled,Twin Gas and Oil Filled,,,,,Telescopic Hydraulic Nitrogen Gas filled,Telescopic Hydraulic Nitrogen Gas filled,Telescopic Hydraulic Nitrogen Gas filled,Telescopic Hydraulic Nitrogen Gas filled,Telescopic Hydraulic Nitrogen Gas filled,Telescopic Hydraulic Nitrogen Gas filled,Telescopic Hydraulic Nitrogen Gas filled,,,,,Gas Filled,Gas Filled,Gas Filled,Gas Filled,Gas Filled,Gas Filled,Gas Filled,Gas Filled,Gas Filled,Gas Filled,,,,,,,,,,,,,,,,,,,,,,,hydraulic,hydraulic,hydraulic,hydraulic,,,,,,,,
ssb_front_brakes,Ventilated Disc,Ventilated Disc,Ventilated Disc,Ventilated Disc,Ventilated Disc,Ventilated Disc,Ventilated Disc,Ventilated Disc,Ventilated Disc,Ventilated Disc,Ventilated Disc,Ventilated Disc,Ventilated Disc,Ventilated Disc,Ventilated Disc,Ventilated Disc,Ventilated Disc,Disc,Disc,Disc,Disc,Disc,Disc,Disc,Disc,Disc,Disc,Disc,Disc,Disc,Disc,Disc,Disc,Disc,Ventilated Disc,Ventilated Disc,Ventilated Disc,Ventilated Disc,Ventilated Disc,Ventilated Disc,Disc,Disc,Disc,Disc,Disc,Disc,Disc,Disc,Disc,Disc,Disc,Disc,Disc,Disc,Disc,Disc,Disc,Ventilated Disc,Ventilated Disc,Ventilated Disc,Ventilated Disc,Ventilated Disc,Ventilated Disc,Ventilated Disc,Ventilated Disc
ssb_rear_brakes,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Drum,Leading Trailing Drum,Drum,Drum,Drum,Drum,Drum,Drum
ssb_steering_technology,electric,electric,electric,electric,electric,electric,electric,electric,electric,electric,Electric,Electric,Electric,Electric,Electric,Electric,Electric,Electric,Electric,Electric,Electric,Electric,Electric,Electric,Electric,Electric,Electric,Electric,Electric,Electric,Electric,Power,Power,Power,Power,Power,Power,Power,Power,Power,Electric,Electric,Electric,Power,Power,Electric,Electric,Electric,Power,Power,Power,Power,Power,Electric,Electric,Electric,Electric,Power,Power,Power,Electronic,Electronic,Electronic,Electronic,Electronic
ssb_steering_functionality,tilt,tilt,tilt,tilt,tilt,tilt,tilt,tilt,tilt,tilt,Telescopic and Tilt,Telescopic and Tilt,Telescopic and Tilt,Telescopic and Tilt,Telescopic and Tilt,Telescopic and Tilt,Telescopic and Tilt,Tilt,Tilt,Tilt,Tilt,Tilt,Tilt,Tilt,Tilt,Tilt,Tilt,Tilt,Tilt,Tilt,Tilt,Tilt,Tilt,Tilt,Tilt,Tilt,Tilt,Tilt,Tilt,Tilt,Tilt,Tilt,Tilt and telescopic,Tilt and telescopic,Tilt,Tilt and telescopic,Tilt and telescopic,Tilt and telescopic,Tilt,Tilt,Tilt,Tilt,Tilt,Tilt,Tilt,Tilt,Tilt,Tilt,Tilt,Tilt,Tilt,Tilt,Tilt,Tilt,Tilt
ssb_wheel_type,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy,,,,,,,,,,,,,,,,,,,,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy,Alloy
